ev,phi0,phi1p,phi2p,phi3p,phi4p,phi5p,phi6p,phi7p,phi8p
200,0,0,0,0,0,0,0,0,0
200,1,1,1,1,1,1,1,1,1
200,2,2,2,2,2,2,2,2,2
200,3,3,3,3,3,3,3,3,3
200,4,4,4,4,4,4,4,4,4
200,5,5,5,5,5,5,5,5,5
200,6,6,6,6,6,6,6,6,6
200,7,7,7,7,7,7,7,7,7
200,8,8,8,8,8,8,8,8,8
200,9,9,9,9,9,9,9,9,9
200,10,10,10,10,10,10,10,10,10
200,11,19,19,19,19,19,19,19,19
200,12,12,12,12,12,12,12,12,12
200,13,13,13,13,13,13,13,13,13
200,14,14,14,14,14,14,14,14,14
200,15,15,15,15,15,15,15,15,15
200,16,16,29,16,16,16,16,16,16
200,17,17,17,17,17,17,17,17,17
200,18,18,18,18,18,18,18,18,18
200,19,11,11,11,11,11,11,11,11
200,20,20,20,20,20,20,20,20,20
200,21,21,21,21,21,21,21,21,21
200,22,22,22,22,22,22,22,22,22
200,23,23,23,23,23,23,23,23,23
200,24,24,24,24,24,24,24,24,24
200,25,25,25,25,25,25,25,25,25
200,26,26,26,26,26,26,26,26,26
200,27,27,31,27,27,27,27,27,27
200,28,28,28,28,28,28,28,28,28
200,29,29,16,29,29,29,29,29,29
200,30,30,30,30,30,30,30,30,30
200,31,31,27,31,31,31,31,31,31
200,32,32,32,32,32,32,32,32,32
200,33,33,33,33,33,33,33,33,33
200,34,34,34,34,34,34,34,34,34
200,35,35,35,35,35,35,35,35,35
200,36,36,36,36,36,36,36,36,36
200,37,37,37,37,37,37,37,37,37
200,38,38,38,38,38,38,38,38,38
200,39,39,39,39,39,39,39,39,39
200,40,40,40,40,40,40,40,40,40
201,0,0,0,0,0,0,0,0,0
201,1,1,1,1,1,1,1,1,1
201,2,2,2,2,2,2,2,2,2
201,3,3,3,3,3,3,3,3,3
201,4,4,4,4,4,4,4,4,4
201,5,5,5,5,5,5,5,5,5
201,6,6,6,6,6,6,6,6,6
201,7,7,7,7,7,7,7,7,7
